,question,options,correct_answer,correct_option,rationale,answer
220,"18. (주)한국의 2018년 12월 31일 결산일 현재 다음의 현금 및 예금 등의 자료를 이용할 때, 2018년 재무상태표에 보고할 현금 및 현금성 자산 금액은? | Additional_info: ○ 현금 ￦30,000
○ 우편환증서 ￦100,000
○ 우표와 수입인지 ￦20,000
○ 은행발행 자기앞수표 ￦20,000
○ 보통예금(사용제한 없음) ￦10,000
○ 정기적금(만기 2022년 1월 31일) ￦200,000
○ 당좌차월 ￦50,000
○ 당좌개설보증금 ￦80,000
○ 환매조건부 채권 ￦300,000(2018년 12월 1일 취득, 만기 2019년 1월 31일)","{'A': '￦360,000', 'B': '￦440,000', 'C': '￦460,000', 'D': '￦660,000'}","￦460,000",opt_3,"### 설명:  현금 및 현금성 자산은 단기적으로 사용 가능하고 유동성이 높은 자산을 포함합니다. 이를 기준으로 주어진 항목들을 평가하겠습니다.  

1. **현금 (￦30,000)**: 현금은 당연히 보고 대상입니다.  
2. **우편환증서 (￦100,000)**: 현금 등가물로 간주되어 포함됩니다.  
3. **우표와 수입인지 (￦20,000)**: 이는 자산으로 인정되지만, 현금 및 현금성 자산으로는 포함되지 않습니다.  
4. **은행발행 자기앞수표 (￦20,000)**: 유동성 높은 자산으로 포함됩니다.  
5. **보통예금 (￦10,000)**: 사용제한이 없으므로 포함됩니다.  
6. **정기적금 (￦200,000)**: 만기가 2022년이므로 유동성 자산으로 간주되지 않아 제외됩니다.  
7. **당좌차월 (￦50,000)**: 이는 부채로 간주되며, 차감되지 않고 별도로 표시됩니다.  
8. **당좌개설보증금 (￦80,000)**: 이는 사용제한 자산으로 현금 및 현금성 자산에 포함되지 않습니다.  
9. **환매조건부 채권 (￦300,000)**: 만기가 3개월 이내로 유동성이 높으므로 포함됩니다.  

따라서, 현금 및 현금성 자산 금액은 다음과 같습니다:  
￦30,000 (현금) + ￦100,000 (우편환증서) + ￦20,000 (자기앞수표) + ￦10,000 (보통예금) + ￦300,000 (환매조건부 채권) = **￦460,000**.  

### 최종답변: ",opt_3
221,20. 자산의 감가상각 및 상각에 대한 설명으로 옳지 않은 것은?,"{'A': '유형자산을 구성하는 일부의 원가가 당해 유형자산의 전체 원가에 비교하여 유의적이라면, 해당 유형자산을 감가상각할 때 그 부분은 별도로 구분하여 감가상각한다.', 'B': '내용연수가 유한한 무형자산의 상각기간과 상각방법은 적어도 매 회계연도 말에 검토한다.', 'C': '내용연수가 비한정적인 무형자산에 대해 상각비를 인식하지 않는다.', 'D': '정액법을 적용하여 상각하던 기계장치가 유휴상태가 되면 감가상각비를 인식하지 않는다.'}",정액법을 적용하여 상각하던 기계장치가 유휴상태가 되면 감가상각비를 인식하지 않는다.,opt_4,"### 설명: 

주어진 문제에서 감가상각 및 상각에 대한 각 선택지를 검토해 보겠습니다.

1. **선택지 A**: 유형자산의 일부가 전체 원가에 비해 유의적일 경우, 해당 부분을 별도로 구분하여 감가상각을 해야 한다는 원칙은 맞습니다. 이는 국제회계기준(IFRS)에서도 명시되어 있으며, 유형자산의 구성요소별 감가상각은 자산의 경제적 효익을 보다 정확히 반영하기 위한 방식입니다.

2. **선택지 B**: 내용연수가 유한한 무형자산의 상각기간과 상각방법을 매 회계연도 말에 검토해야 한다는 내용은 국제회계기준(IFRS 38)에 근거하여 옳습니다. 이는 자산의 경제적 효익이 변할 가능성을 반영하기 위한 조치입니다.

3. **선택지 C**: 내용연수가 비한정적인 무형자산에 대해 상각비를 인식하지 않는다는 내용도 옳습니다. 비한정적인 무형자산은 내용연수의 제한이 없으므로 상각하지 않고, 매 회계연도마다 손상검사를 수행합니다.

4. **선택지 D**: 정액법으로 감가상각하던 기계장치가 유휴 상태가 되었다고 해서 감가상각을 중단하면 안 됩니다. 감가상각은 자산이 사용되지 않더라도 해당 자산이 경제적 효익을 제공할 가능성이 남아 있는 한 지속적으로 이루어져야 합니다. 따라서 선택지 D는 옳지 않은 설명입니다.

### 최종답변: ",opt_4
222,"1. 재무제표 요소의 측정에 대한 다음의 설명과 가장 관련이 있는 측정기준은?
○ 자산은 동일하거나 동등한 자산을 현재시점에서 취득할 경우 대가로 지불해야 할 현금이나 현금성자산의 금액으로 평가한다.
○ 부채는 현재시점에서 의무를 이행하는 데 필요한 현금이나 현금성자산의 할인하지 아니한 금액으로 평가한다.","{'A': '역사적원가', 'B': '현행원가', 'C': '실현가능가치(이행가치)', 'D': '현재가치'}",현행원가,opt_2,"### 설명: 위의 설명은 '현행원가'와 가장 관련이 있습니다. 현행원가는 자산이나 부채를 현재시점에서 측정한 가치로 정의됩니다. 즉, 자산은 동일하거나 동등한 자산을 현재 취득할 때 필요한 금액으로, 부채는 현재 의무를 이행하는 데 필요한 금액으로 측정됩니다. 설명에서 자산과 부채의 현재시점 가치를 언급하고 있으므로 현행원가가 적합한 측정기준입니다. ### 최종답변: ",opt_2
223,"2. (주)한국은 포괄손익계산서에 표시되는 비용을 매출원가, 물류원가, 관리활동원가 등으로 구분하고 있다. 이는 비용항목의 구분표시 방법 중 무엇에 해당하는가?","{'A': '성격별 분류', 'B': '기능별 분류', 'C': '증분별 분류', 'D': '행태별 분류'}",기능별 분류,opt_2,"### 설명: 포괄손익계산서에서 비용 항목을 매출원가, 물류원가, 관리활동원가 등으로 구분하는 것은 해당 비용이 기업의 특정 활동(기능)과 어떻게 관련되어 있는지를 기준으로 분류하는 것입니다. 이러한 방법을 '기능별 분류'라고 하며, 이는 비용이 수행하는 역할(예: 생산, 관리, 판매)에 따라 분류하는 방식입니다. 반대로 '성격별 분류'는 비용의 성격(예: 임금, 감가상각비, 원재료비 등)에 따라 분류하는 것입니다. 따라서 문제에서 제시된 비용 구분 방식은 '기능별 분류'에 해당합니다.",opt_2
224,"3. (주)한국의 20×1년의 상품매출액은 ￦1,000,000이며, 매출총이익률은 20%이다. 20×1년의 기초상품재고액이 ￦50,000이고 당기의 상품 매입액이 ￦900,000이라고 할 때, 20×1년 말의 재무상태표에 표시될 기말상품재고액은?","{'A': '￦70,000', 'B': '￦100,000', 'C': '￦150,000', 'D': '￦180,000'}","￦150,000",opt_3,"### 설명: \n1. 문제 이해: \n- 상품매출액은 ￦1,000,000이며 매출총이익률이 20%입니다. 매출총이익률은 매출총이익을 매출액으로 나눈 비율로 정의됩니다. \n- 기초상품재고액은 ￦50,000이고, 당기의 상품 매입액은 ￦900,000입니다. \n- 기말상품재고액을 계산해야 합니다. \n\n2. 계산 단계: \n(1) 매출총이익 계산: \n매출총이익 = 매출액 × 매출총이익률 \n매출총이익 = ￦1,000,000 × 20% = ￦200,000 \n\n(2) 매출원가 계산: \n매출원가는 매출액에서 매출총이익을 뺀 값입니다. \n매출원가 = 매출액 - 매출총이익 \n매출원가 = ￦1,000,000 - ￦200,000 = ￦800,000 \n\n(3) 기말상품재고액 계산: \n매출원가는 다음의 공식으로도 계산됩니다: \n매출원가 = 기초상품재고액 + 당기상품매입액 - 기말상품재고액 \n이를 기말상품재고액에 대해 정리하면: \n기말상품재고액 = 기초상품재고액 + 당기상품매입액 - 매출원가 \n기말상품재고액 = ￦50,000 + ￦900,000 - ￦800,000 = ￦150,000 \n\n3. 결론: \n20×1년 말의 기말상품재고액은 ￦150,000입니다.\n\n### 최종답변:",opt_3
225,"6. 다음은 창고임대업을 영위하는 (주)한국의 20×1년 결산 관련 자료이다.
보험료
○ 기초 선급보험료 잔액 ￦3,000
○ 7월 1일에 보험을 갱신하고 1년분 보험료 ￦12,000을 현금으로 지급하고 자산으로 회계처리함
임대료
○ 기초 선수임대료 잔액 ￦3,000
○ 4월 1일에 임대차계약을 갱신하고 1년분 임대료 ￦24,000을 현금으로 수령하고 수익으로 회계처리함 | Additional_info: 보험료와 임대료가 20×1년도 세전이익에 미치는 영향은? (단, 보험료와 임대료 이외의 다른 계정은 고려하지 않으며, 기간은 월할 계산한다)","{'A': '￦12,000', 'B': '￦15,000', 'C': '￦18,000', 'D': '￦21,000'}","￦12,000",opt_1,"### 설명: 
1. **보험료 조정**:
   - 기초 선급보험료 잔액: ￦3,000 (전년도에 미리 지급된 금액 중 20×1년도에 사용된 금액 포함).
   - 7월 1일에 1년분 보험료 ￦12,000을 지급했으므로, 월 보험료는 ￦12,000 ÷ 12개월 = ￦1,000.
   - 7월 1일부터 12월 31일까지 6개월치 보험료가 20×1년도 비용에 해당: ￦1,000 × 6 = ￦6,000.
   - 기초 선급보험료 중 20×1년도에 해당하는 금액은 ￦3,000 (모두 비용 처리됨).
   - 따라서, 보험료가 세전이익에 미치는 총 비용은: ￦6,000 + ￦3,000 = ￦9,000.

2. **임대료 조정**:
   - 기초 선수임대료 잔액: ￦3,000 (전년도에 미리 수령한 금액 중 20×1년도 수익 포함).
   - 4월 1일에 1년분 임대료 ￦24,000 수령. 월 임대료는 ￦24,000 ÷ 12개월 = ￦2,000.
   - 4월 1일부터 12월 31일까지 9개월치가 20×1년도 수익에 해당: ￦2,000 × 9 = ￦18,000.
   - 기초 선수임대료 중 20×1년도 수익은 ￦3,000 (모두 수익 처리됨).
   - 따라서, 임대료가 세전이익에 미치는 총 수익은: ￦18,000 + ￦3,000 = ￦21,000.

3. **세전이익에 대한 순 영향 계산**:
   - 임대료 수익: ￦21,000.
   - 보험료 비용: ￦9,000.
   - 세전이익에 미치는 순 영향: ￦21,000 - ￦9,000 = ￦12,000.

### 최종답변: opt_1",opt_1
226,"8. (주)한국은 20×1년 초 토지, 건물 및 기계장치를 일괄취득하고 현금 ￦1,500,000을 지급하였다. 취득일 현재 자산의 장부금액과 공정가치가 다음과 같을 때, 각 자산의 취득원가는? (단, 취득 자산은 철거 혹은 용도변경 없이 계속 사용한다) | Additional_info: 구분 장부금액 공정가치
토지 ￦1,095,000 ￦1,350,000
건물 ￦630,000 ￦420,000
기계장치 ￦380,000 ￦230,000","{'A': '￦1,350,000, ￦420,000, ￦230,000', 'B': '￦1,095,000, ￦630,000, ￦380,000', 'C': '￦1,095,000, ￦315,000, ￦162,500', 'D': '￦1,012,500, ￦315,000, ￦172,500'}","￦1,012,500, ￦315,000, ￦172,500",opt_4,"### 설명:  문제는 3가지 자산(토지, 건물, 기계장치)을 일괄적으로 구매한 경우, 각 자산의 공정가치를 기준으로 한 비율을 사용하여 총 지급 금액(￦1,500,000)을 배분하는 방법을 묻고 있습니다.  
 
**Step 1: 공정가치의 총합 계산**  
주어진 공정가치:  
- 토지: ￦1,350,000  
- 건물: ￦420,000  
- 기계장치: ￦230,000  
총 공정가치 = ￦1,350,000 + ￦420,000 + ￦230,000 = ￦2,000,000  
 
**Step 2: 각 자산의 공정가치 비율 계산**  
토지의 비율 = ￦1,350,000 / ￦2,000,000 = 0.675 (67.5%)  
건물의 비율 = ￦420,000 / ￦2,000,000 = 0.21 (21%)  
기계장치의 비율 = ￦230,000 / ￦2,000,000 = 0.115 (11.5%)  
 
**Step 3: 각 자산의 취득원가 배분**  
총 지급 금액 ￦1,500,000을 위 비율에 따라 배분합니다:  
- 토지의 취득원가 = ￦1,500,000 × 0.675 = ￦1,012,500  
- 건물의 취득원가 = ￦1,500,000 × 0.21 = ￦315,000  
- 기계장치의 취득원가 = ￦1,500,000 × 0.115 = ￦172,500  
 
**Step 4: 최종 확인 및 선택지 비교**  
계산된 취득원가는 토지 ￦1,012,500, 건물 ￦315,000, 기계장치 ￦172,500입니다. 이는 선택지 D와 일치합니다.  
### 최종답변: ",opt_4
227,"9. (주)한국은 20×1년 1월 1일에 액면금액 ￦120,000, 만기 2년, 이자지급일이 매년 12월 31일인 사채를 발행하였다. (주)한국의 회계담당자는 다음과 같은 유효이자율법에 의한 상각표를 작성하였다. (주)한국의 동 사채에 대한 설명으로 옳은 것은? | Additional_info: 날짜 이자지급 유효이자 상각액 장부금액
20×1. 1. 1. ￦115,890
20×1. 12. 31. ￦10,800 ￦12,748 ￦1,948 ￦117,838
20×2. 12. 31. ￦10,800 ￦12,962 ￦2,162 ￦120,000","{'A': '사채의 표시이자율은 연 8%이다.', 'B': '20×1년 말 사채할인발행차금 상각액은 ￦2,162이다.', 'C': '20×2년 말 사채관련 유효이자비용은 ￦12,962이다.', 'D': '사채의 유효이자율은 연 12%이다.'}","20×2년 말 사채관련 유효이자비용은 ￦12,962이다.",opt_3,"### 설명: 문제를 해결하기 위해 제공된 정보를 분석해 봅시다. 먼저, 사채의 조건을 확인합니다. 액면금액은 ￦120,000이고, 만기는 2년이며, 표시이자율에 따라 매년 12월 31일에 이자를 지급합니다. 또한 유효이자율법에 따라 상각표가 작성되었으며, 각 연도별 이자지급액, 유효이자비용, 상각액 및 장부금액의 변화가 주어졌습니다.

1. **옵션 A 분석 - 사채의 표시이자율:**
   표시이자율은 사채의 액면금액에 대해 지급되는 이자의 비율입니다. 매년 지급되는 이자액이 ￦10,800이므로, 액면금액 ￦120,000에 대한 표시이자율은 다음과 같이 계산됩니다:
   
   표시이자율 = (이자지급액 ÷ 액면금액) × 100 = (10,800 ÷ 120,000) × 100 = 9%
   따라서, 옵션 A는 틀렸습니다.

2. **옵션 B 분석 - 20×1년 말 할인발행차금 상각액:**
   할인발행차금 상각액은 유효이자비용과 실제 이자지급액의 차이로 계산됩니다. 20×1년 말 유효이자비용은 ￦12,748이며, 실제 지급된 이자액은 ￦10,800입니다. 따라서 상각액은:
   
   상각액 = 유효이자비용 - 실제이자지급액 = 12,748 - 10,800 = 1,948
   옵션 B는 틀렸습니다.

3. **옵션 C 분석 - 20×2년 말 유효이자비용:**
   20×2년 말 유효이자비용은 이미 상각표에 명시되어 있으며, ￦12,962입니다. 따라서 옵션 C는 맞습니다.

4. **옵션 D 분석 - 유효이자율:**
   유효이자율은 할인발행된 사채의 시장이자율로, 상각표의 유효이자비용 계산에 사용된 비율입니다. 첫 해(20×1년)의 유효이자비용은 다음과 같이 계산됩니다:
   
   유효이자비용 = 발행 당시 장부금액 × 유효이자율
   ￦12,748 = ￦115,890 × 유효이자율
   유효이자율 = ￦12,748 ÷ ￦115,890 ≈ 11%
   따라서 옵션 D는 틀렸습니다.

결론적으로, 올바른 답변은 옵션 C입니다.### 최종답변: ",opt_3
228,"10. (주)한국의 20×1년 12월 31일의 재무상태표상의 자본은 보통주 자본금 ￦100,000(주식수 100주, 주당 액면금액 ￦1,000), 주식발행초과금 ￦30,000, 이익잉여금 ￦50,000으로 구성되어 있다. 20×2년의 자본과 관련된 거래내역이 다음과 같을 때, 자본 변동에 대한 설명으로 옳지 않은 것은? (단, 자기주식에 대하여 원가법을 적용하고, 기초 자기주식처분손익은 없다) | Additional_info: ○ 3월 10일: 주주에게 보통주 한 주당 0.1주의 주식배당을 결의하였다.
○ 3월 31일: 3월 10일에 결의한 주식배당을 실시하였다.
○ 4월 9일: 자기주식 10주를 주당 ￦2,100에 취득하였다.
○ 6월 13일: 4월 9일 취득한 자기주식 4주를 주당 ￦2,200에 매각하였다.
○ 8월 24일: 4월 9일 취득한 자기주식 6주를 주당 ￦1,700에 매각하였다.
○ 11월 20일: 보통주 1주를 2주로 하는 주식분할을 의결하고 시행하였다.","{'A': '자본과 관련된 거래로 인해 이익잉여금은 ￦8,000 감소한다.', 'B': '자기주식처분손실은 ￦2,000이다.', 'C': '20×2년 12월 31일의 보통주자본금은 ￦110,000이다.', 'D': '20×2년 12월 31일의 보통주 주식수는 220주이다.'}","자본과 관련된 거래로 인해 이익잉여금은 ￦8,000 감소한다.",opt_1,"### 설명: 1. 문제 이해: \n- 이 문제는 자본의 변동과 관련된 거래를 분석하여 각 선택지의 옳고 그름을 판단하는 것입니다. \n- 주어진 거래를 분석하여 이익잉여금, 자기주식처분손익, 보통주자본금, 보통주 주식수에 미치는 영향을 계산해야 합니다.\n\n2. 주어진 정보: \n- 기초 보통주자본금: ￦100,000 (주식수: 100주, 주당 액면금액: ￦1,000)\n- 주식발행초과금: ￦30,000\n- 이익잉여금: ￦50,000\n- 자기주식 원가법 적용\n\n3. 거래별 분석:\n\n**(1) 3월 10일 및 3월 31일: 주식배당**\n- 주주에게 주식배당 비율: 보통주 1주당 0.1주\n- 새로운 주식 발행 수: 100주 × 0.1 = 10주\n- 발행 주식의 금액: 10주 × ￦1,000 (주당 액면금액) = ￦10,000\n- 이익잉여금 감소: ￦10,000\n\n**(2) 4월 9일: 자기주식 취득**\n- 자기주식 취득 수: 10주\n- 취득 단가: ￦2,100\n- 자기주식 취득 금액: 10주 × ￦2,100 = ￦21,000\n\n**(3) 6월 13일: 자기주식 매각 (4주)**\n- 매각 단가: ￦2,200\n- 매각 금액: 4주 × ￦2,200 = ￦8,800\n- 취득 원가: 4주 × ￦2,100 = ￦8,400\n- 자기주식처분이익: ￦8,800 - ￦8,400 = ￦400 (자본잉여금으로 처리)\n\n**(4) 8월 24일: 자기주식 매각 (6주)**\n- 매각 단가: ￦1,700\n- 매각 금액: 6주 × ￦1,700 = ￦10,200\n- 취득 원가: 6주 × ￦2,100 = ￦12,600\n- 자기주식처분손실: ￦12,600 - ￦10,200 = ￦2,400 (이익잉여금 차감 처리)\n\n**(5) 11월 20일: 주식분할**\n- 주식분할 비율: 1주당 2주\n- 주식 수 증가: (100 + 10)주 × 2 = 220주\n- 보통주자본금 변동 없음: 액면금액이 주당 ￦1,000에서 ￦500으로 변경됨.\n\n4. 선택지 검토:\n\nA. 자본과 관련된 거래로 인해 이익잉여금은 ￦8,000 감소한다.\n- 주식배당으로 인한 감소: ￦10,000\n- 자기주식처분손실로 인한 감소: ￦2,400\n- 총 감소: ￦10,000 + ￦2,400 = ￦12,400\n- 따라서 A는 **옳지 않음**.\n\nB. 자기주식처분손실은 ￦2,000이다.\n- 실제 자기주식처분손실은 ￦2,400이므로, B는 **옳지 않음**.\n\nC. 20×2년 12월 31일의 보통주자본금은 ￦110,000이다.\n- 주식배당으로 보통주자본금 증가: ￦10,000\n- 최종 보통주자본금: ￦100,000 + ￦10,000 = ￦110,000\n- 따라서 C는 **옳음**.\n\nD. 20×2년 12월 31일의 보통주 주식수는 220주이다.\n- 주식배당 후 주식수: 100주 + 10주 = 110주\n- 주식분할 후 주식수: 110주 × 2 = 220주\n- 따라서 D는 **옳음**.\n\n### 최종답변: A",opt_1
229,"11. (주)한국의 20×1년 4월 초와 4월 말 재고자산 금액은 다음과 같다. 20×1. 4. 1. 20×1. 4. 30. 직접재료 ￦18,000 ￦16,000 재공품 ￦4,000 ￦14,000 제품 ￦16,000 ￦12,000 4월 중 직접재료 매입액은 ￦150,000이고, 가공원가는 ￦594,000이다. (주)한국의 4월 매출원가는?","{'A': '￦726,000', 'B': '￦738,000', 'C': '￦740,000', 'D': '￦752,000'}","￦740,000",opt_3,"### 설명: 

매출원가를 계산하기 위해 우리는 재고자산 및 생산과 관련된 비용을 분석해야 합니다. 다음은 계산 과정입니다:

1. **직접재료비 계산**:
   - 직접재료비는 사용된 직접재료 금액을 계산하여 구합니다.
   - 공식: 사용된 직접재료 = 기초 직접재료 + 직접재료 매입액 - 기말 직접재료
   - 계산: ￦18,000 + ￦150,000 - ￦16,000 = ￦152,000

2. **총제조원가 계산**:
   - 총제조원가는 사용된 직접재료비와 가공원가를 합한 값입니다.
   - 공식: 총제조원가 = 사용된 직접재료 + 가공원가
   - 계산: ￦152,000 + ￦594,000 = ￦746,000

3. **재공품에서 완성품으로 이전된 금액 계산**:
   - 재공품에서 완성품으로 이전된 금액은 기초 재공품에 총제조원가를 더하고 기말 재공품을 뺀 값입니다.
   - 공식: 완성품으로 이전된 금액 = 기초 재공품 + 총제조원가 - 기말 재공품
   - 계산: ￦4,000 + ￦746,000 - ￦14,000 = ￦736,000

4. **매출원가 계산**:
   - 매출원가는 기초 제품에 완성품으로 이전된 금액을 더하고 기말 제품을 뺀 값입니다.
   - 공식: 매출원가 = 기초 제품 + 완성품으로 이전된 금액 - 기말 제품
   - 계산: ￦16,000 + ￦736,000 - ￦12,000 = ￦740,000

따라서, (주)한국의 4월 매출원가는 ￦740,000입니다.

### 최종답변: 
opt_3",opt_3
230,"12. 제조기업인 (주)한국의 20×1년도 자료를 이용하여 영업손익을 계산하면? ○ 매출액 ￦100,000 ○ 이자수익 ￦10,000 ○ 감가상각비 ￦10,000 ○ 매도가능금융자산평가이익 ￦10,000 ○ 이자비용 ￦5,000 ○ 매출원가 ￦70,000 ○ 종업원급여 ￦5,000 ○ 광고선전비 ￦5,000","{'A': '영업이익 ￦10,000', 'B': '영업손실 ￦10,000', 'C': '영업이익 ￦20,000', 'D': '영업손실 ￦20,000'}","영업이익 ￦10,000",opt_1,"### 설명: 영업손익은 회사의 영업 활동에서 발생한 수익에서 영업 관련 비용을 차감하여 계산됩니다. 이를 계산하기 위해 영업과 직접적으로 관련된 항목만 고려해야 하며, 영업외 수익이나 비용은 제외합니다. 1. 매출액: ￦100,000 2. 매출원가: ￦70,000 (매출액에서 차감) 3. 종업원급여: ￦5,000 (비용으로 차감) 4. 광고선전비: ￦5,000 (비용으로 차감) 5. 감가상각비: ￦10,000 (비용으로 차감) 따라서, 영업이익 = 매출액 - 매출원가 - 종업원급여 - 광고선전비 - 감가상각비 = ￦100,000 - ￦70,000 - ￦5,000 - ￦5,000 - ￦10,000 = ￦10,000. 이자수익, 이자비용 및 매도가능금융자산평가이익은 영업외 항목이므로 계산에 포함되지 않습니다. ### 최종답변: ",opt_1
231,"15. (주)한국은 제품 1단위에 2kg의 원재료를 사용하고 있으며, 원재료 1kg당 가격은 ￦10이다. 각 분기 말 원재료 재고량은 다음 분기 원재료 예상사용량의 10%를 유지하고 있다. (주)한국이 1분기 초에 보유하고 있는 원재료는 220kg이다. 분기별 실제(목표)생산량이 다음과 같을 때, 1분기의 원재료 예산구입액은? (단, 재공품 및 제품 재고는 없다) | Additional_info: 실제생산량 1분기: 1,100개 2분기: 1,500개","{'A': '￦17,200', 'B': '￦18,800', 'C': '￦22,800', 'D': '￦23,000'}","￦22,800",opt_3,"### 설명: 

문제를 해결하기 위해 다음 단계를 따릅니다:

1. **원재료 사용량 계산 (1분기와 2분기)**:
   - 제품 1단위를 생산하는 데 2kg의 원재료가 필요합니다.
   - 1분기의 실제 생산량은 1,100개이므로 필요한 원재료량은:
     \( 1,100 \times 2 = 2,200kg \)
   - 2분기의 실제 생산량은 1,500개이므로 필요한 원재료량은:
     \( 1,500 \times 2 = 3,000kg \)

2. **1분기 초와 말의 재고량 계산**:
   - 문제에서 재고정책은 다음 분기 예상 사용량의 10%를 유지한다고 명시되어 있습니다.
   - 2분기 예상 사용량은 3,000kg이므로, 1분기 말 재고량은:
     \( 3,000 \times 10\% = 300kg \)
   - 1분기 초의 원재료 보유량은 이미 주어졌으며 220kg입니다.

3. **1분기의 원재료 구입량 계산**:
   - 1분기 동안 필요한 원재료량 = 1분기 사용량 + 1분기 말 재고량 - 1분기 초 재고량
     \[ \text{필요한 원재료량} = 2,200 + 300 - 220 = 2,280kg \]

4. **1분기의 원재료 예산구입액 계산**:
   - 원재료 1kg의 가격은 ￦10이므로 구입액은:
     \( 2,280 \times 10 = ￦22,800 \)

### 최종답변: 

opt_3",opt_3
232,"17. (주)한국은 결합제품 A, B를 생산하고 있으며, 결합원가는 분리점에서의 상대적 순실현가치를 기준으로 배분한다. (주)한국의 20×1년 원가자료는 다음과 같다. 구분 제품 A 제품 B 생산량 2,000단위 5,000단위 단위당 추가가공원가 ￦100 ￦80 추가가공 후 단위당 판매가격 ￦400 ￦160 결합원가 ￦350,000 기초와 기말제품재고는 없다고 가정할 때, 20×1년도 제품 A와 제품 B의 매출총이익은?","{'A': '제품 A: ￦325,000, 제품 B: ￦325,000', 'B': '제품 A: ￦390,000, 제품 B: ￦260,000', 'C': '제품 A: ￦425,000, 제품 B: ￦225,000', 'D': '제품 A: ￦500,000, 제품 B: ￦150,000'}","제품 A: ￦390,000, 제품 B: ￦260,000",opt_2,"### 설명: 

1. **문제 이해**
   - 결합제품 A와 B의 생산량, 추가가공원가, 추가가공 후 판매가격, 그리고 결합원가가 주어졌습니다. 
   - 결합원가는 ""분리점에서의 상대적 순실현가치""를 기준으로 배분됩니다.
   - 순실현가치(NRV, Net Realizable Value)는 각 제품의 총 판매수익에서 추가 가공원가를 차감하여 계산합니다.
   - 결합원가 배분 후, 각 제품의 매출총이익은 ""판매수익 - 추가가공원가 - 배분된 결합원가""로 계산됩니다.

2. **주어진 정보 정리**
   - **생산량**: 제품 A = 2,000단위, 제품 B = 5,000단위
   - **단위당 추가가공원가**: 제품 A = ￦100, 제품 B = ￦80
   - **추가가공 후 단위당 판매가격**: 제품 A = ￦400, 제품 B = ￦160
   - **결합원가**: ￦350,000

3. **각 제품의 순실현가치(NRV) 계산**
   - 각 제품의 총 판매수익 = 판매가격 × 생산량
     - 제품 A: ￦400 × 2,000 = ￦800,000
     - 제품 B: ￦160 × 5,000 = ￦800,000
   - 각 제품의 추가가공원가 = 단위당 추가가공원가 × 생산량
     - 제품 A: ￦100 × 2,000 = ￦200,000
     - 제품 B: ￦80 × 5,000 = ￦400,000
   - 각 제품의 순실현가치(NRV) = 총 판매수익 - 추가가공원가
     - 제품 A: ￦800,000 - ￦200,000 = ￦600,000
     - 제품 B: ￦800,000 - ￦400,000 = ￦400,000

4. **결합원가 배분**
   - NRV의 비율을 기준으로 결합원가를 배분합니다.
     - 제품 A의 NRV 비율 = ￦600,000 / (￦600,000 + ￦400,000) = 0.6
     - 제품 B의 NRV 비율 = ￦400,000 / (￦600,000 + ￦400,000) = 0.4
   - 배분된 결합원가 = 결합원가 × 각 제품의 NRV 비율
     - 제품 A: ￦350,000 × 0.6 = ￦210,000
     - 제품 B: ￦350,000 × 0.4 = ￦140,000

5. **매출총이익 계산**
   - 매출총이익 = 총 판매수익 - 추가가공원가 - 배분된 결합원가
     - 제품 A: ￦800,000 - ￦200,000 - ￦210,000 = ￦390,000
     - 제품 B: ￦800,000 - ￦400,000 - ￦140,000 = ￦260,000

6. **정답 확인**
   - 제품 A의 매출총이익 = ￦390,000
   - 제품 B의 매출총이익 = ￦260,000
   - 따라서 정답은 **B**입니다.

### 최종답변: B",opt_2
